"data";"1";"7"
2011-11-30;1,8109;56874
2011-12-01;1,7929;58143
2011-12-02;1,7843;57886
2011-12-05;1,783;58910
2011-12-06;1,7913;59536
2011-12-07;1,798;58662
2011-12-08;1,7941;57455
2011-12-09;1,813;58236
2011-12-12;1,8219;57346
2011-12-13;1,8409;57494
2011-12-14;1,8728;56646
2011-12-15;1,8609;56331
2011-12-16;1,8465;56096
2011-12-19;1,8616;55298
2011-12-20;1,8508;56864
2011-12-21;1,8556;56653
2011-12-22;1,8578;57347
2011-12-23;1,856;57701
2011-12-26;1,8566;57669
2011-12-27;1,8585;58005
2011-12-28;1,8634;56533
2011-12-29;1,8758;56754
2011-12-30;1,8758;NA
2012-01-02;1,8683;57829
2012-01-03;1,8457;59264
2012-01-04;1,8272;59364
2012-01-05;1,8371;58546
2012-01-06;1,8449;58600
2012-01-09;1,8442;59082
2012-01-10;1,8042;59805
2012-01-11;1,8048;59962
2012-01-12;1,7874;59920
2012-01-13;1,7853;59146
2012-01-16;1,7836;59956
2012-01-17;1,776;60645
2012-01-18;1,7791;61722
2012-01-19;1,7648;61926
2012-01-20;1,767;62312
2012-01-23;1,7528;62386
2012-01-24;1,7649;62486
2012-01-25;1,7632;NA
2012-01-26;1,7389;62953
2012-01-27;1,7436;62904
2012-01-30;1,7509;62770
2012-01-31;1,7391;63072
2012-02-01;1,7376;64567
2012-02-02;1,7326;64593
2012-02-03;1,7223;65217
2012-02-06;1,7249;65223
2012-02-07;1,7261;65917
2012-02-08;1,7195;65831
2012-02-09;1,7225;65530
2012-02-10;1,726;63997
2012-02-13;1,7169;65691
2012-02-14;1,7173;65038
2012-02-15;1,7158;65368
2012-02-16;1,7326;66142
2012-02-17;1,7136;66203
2012-02-22;1,7076;66092
2012-02-23;1,704;65819
2012-02-24;1,7098;65942
2012-02-27;1,7088;65241
2012-02-28;1,7024;65959
2012-02-29;1,7092;65811
2012-03-01;1,7152;66810
2012-03-02;1,7245;67781
2012-03-05;1,7314;66964
2012-03-06;1,7556;65114
2012-03-07;1,7692;66016
2012-03-08;1,7697;66908
2012-03-09;1,7767;66703
2012-03-12;1,8157;66384
